uri	name	type	synonyms	definition	resource	wikipedia
http://purl.obolibrary.org/obo/UBERON_0006967	horn	count		Pointed projection on the head of various animals	UBERON	https://en.wikipedia.org/wiki/Horn_(anatomy)
http://purl.obolibrary.org/obo/UBERON_0000978	leg	count	limbs, legs	A leg is a weight-bearing and locomotive anatomical structure, usually having a columnar shape.	UBERON	https://en.wikipedia.org/wiki/Leg#Limb
http://purl.obolibrary.org/obo/BTO_0001758	ocellus	count	simple eyes, ocelli	small simple eyes, found in many invertebrates, usually consisting of a few sensory cells and a single lens	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Simple_eye_in_invertebrates#Ocelli_or_eye_spots
http://purl.obolibrary.org/obo/UBERON_2002117	ovipositor	count	ovipositors	A tube-like organ used by some animals, especially insects, for the laying of eggs	UBERON	https://en.wikipedia.org/wiki/Ovipositor
http://purl.obolibrary.org/obo/BTO_0001117	proboscis	count	proboscises, proboscides	A tubular feeding and sucking organ	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Proboscis#Invertebrates
http://purl.obolibrary.org/obo/HAO_0000957	pterostigma	count	pterostigmata	A group of specialized cells in the outer wings of insects	Hymenoptera Anatomy Ontology	https://en.wikipedia.org/wiki/Pterostigma
http://purl.obolibrary.org/obo/IDOMAL_0002230	superposition eye	count	superposition eyes	refracting, reflecting and parabolic superposition eyes	Malaria Ontology	https://en.wikipedia.org/wiki/Eye#Superposition_eyes
http://purl.obolibrary.org/obo/BTO_0002098	tympanal organ	count	tympanum	hearing organ in insects, consisting of a membrane (tympanum) stretched across a frame backed by an air sac and associated sensory neurons	BRENDA tissue / enzyme source	https://en.wikipedia.org/wiki/Tympanal_organ
http://purl.obolibrary.org/obo/UBERON_0000023	wing	count	wings	Complete wing	UBERON	https://en.wikipedia.org/wiki/Insect_wing
						
						
Body Features (terms used to describe)						
http://eol.org/schema/terms/apterous	apterous	yes/no	wingless	Wings are absent	Encyclopedia of Life	https://en.wikipedia.org/wiki/Aptery
http://purl.obolibrary.org/obo/UBERON_0016490	auditory system	yes/no	hearing system, hearing organ	is the sensory system for the sense of hearing	UBERON	https://en.wikipedia.org/wiki/Auditory_system
http://eol.org/schema/terms/Bioluminescent	bioluminescent	yes/no	bioluminescence	Has this organism been observed to produce and transmit light?	Encyclopedia of Life	http://en.wikipedia.org/wiki/Bioluminescence
https://www.wikidata.org/entity/Q10874	blind	yes/no	sightless	complete or nearly complete lack of vision	WikiData	https://en.wiktionary.org/wiki/blind
http://eol.org/schema/terms/brachypterous	brachypterous	yes/no	nonfunctional wings, reduced wings, microptery, micropterous	The presence of short wings, not functional as organs of flight	Encyclopedia of Life	https://en.wikipedia.org/wiki/Brachyptery
http://eol.org/schema/terms/hasWings	has wings	yes/no	winged	Wings are present	Encyclopedia of Life	https://en.wikipedia.org/wiki/Wing
http://eol.org/schema/terms/secondarilyApterous	secondarily apterous	yes/no	secondarily wingless	The absence of wings in organisms that are descended from winged ancestors	Encyclopedia of Life	https://en.wikipedia.org/wiki/Aptery
https://en.wiktionary.org/wiki/aristate	aristate antenna	yes/no	aristate antennae	Having a slender, sharp, or spiny tip.	Wikiworld	
https://en.wiktionary.org/wiki/lamellate	lamellate antenna	yes/no	lamellate antennae	This term is used especially to describe certain insect antennae in which the last segments are so shaped into a compact club of flat plates	Wikiworld	
https://en.wiktionary.org/wiki/serrate	serrate antenna	yes/no	serrate antennae	Having tooth-like projections on one side, as in a saw	Wikiworld	
https://en.wiktionary.org/wiki/flabellate	flabellate antenna	yes/no	flabellate antennae	Fan-shaped; having parts or segments that are flattened and lengthened on one side, such that they are long and narrow	Wikiworld	
https://en.wiktionary.org/wiki/moniliform	moniliform antenna	yes/no	moniliform antennae	Having a form resembling a string of beads, where the component parts or segments are more or less uniform in size and are spherical or rounded in shape	Wikiworld	
https://en.wiktionary.org/wiki/setaceous	setaceous antenna	yes/no	setaceous antennae	Of, relating to, or resembling a seta or bristle; bristly	Wikiworld	
https://en.wiktionary.org/wiki/geniculate	geniculate antenna	yes/no	geniculate antennae	Having kneelike joints; able to bend at an abrupt angle	Wikiworld	
https://en.wiktionary.org/wiki/plumose	plumose antenna	yes/no	plumose antennae, feathery antennae, plumelike antennae	Having hairs, or other parts, arranged along an axis like a feather	Wikiworld	
https://en.wiktionary.org/wiki/pectinate	pectinate antenna	yes/no	pectinate antennae	Having segments which are greatly lengthened to one side	Wikiworld	
https://en.wiktionary.org/wiki/clavate	clavate antenna	yes/no	clavate antennae, claviform antennae, clubbed antennae	Resembling a club, becoming increasingly wide from the base to the distal end	Wikiworld	
https://en.wiktionary.org/wiki/stylate	stylate antenna	yes/no	stylate antennae, styliform antennae	A small, thin, pointed body part	Wikiworld	
