uri	name	type	synonyms	definition_description	resource	wikipedia
http://eol.org/schema/terms/suspensionFeeder	suspension feeder	yes/no	feeds in water column, feeds on particles	An organism which feeds on organisms and/or particles suspended in the water column.	Encyclopedia of Life	https://en.wikipedia.org/wiki/Filter_feeder
http://eol.org/schema/terms/symbiotroph	symbiotroph	yes/no	symbiotrophic, symbiotrophy, symbiotic feeding	A consumer that acquires nutrition from a symbiont	Encyclopedia of Life	https://en.wiktionary.org/wiki/symbiotroph
						
Feeds on Who? (Relation to other Taxon)						
http://purl.obolibrary.org/obo/RO_0002471	eaten by	association	consumed by, fed on by	is target of eating interaction with	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002470	eats	association	consumes, feeds on	is subject of eating interaction with	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002632	ectoparasite of	association	ectoparasites of, external parasite of	A sub-relation of parasite-of in which the parasite lives on or in the integumental system of the host	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism#Types
http://purl.obolibrary.org/obo/RO_0002634	endoparasite of	association	endoparasites of, internal parasite of	A sub-relation of parasite-of in which the parasite lives inside the host, beneath the integumental system	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism#Types
http://eol.org/schema/terms/facultativeParasite	facultative parasite of	association	facultative parasites of	A facultative parasite is an organism that may resort to parasitic activity, but does not absolutely rely on any host for completion of its life cycle.	Encyclopedia of Life	https://en.wikipedia.org/wiki/Facultative_parasite
http://purl.obolibrary.org/obo/RO_0002454	has host	association	lives on host, lives in host	X 'has host' y if and only if: x is an organism, y is an organism, and x can live on the surface of or within the body of y	Relation Ontology	https://en.wikipedia.org/wiki/Host_(biology)
http://purl.obolibrary.org/obo/RO_0002453	host of	association	hosts	host is usually used for the larger (macro) of the two members of a symbiosis	Relation Ontology	https://en.wikipedia.org/wiki/Host_(biology)
http://purl.obolibrary.org/obo/RO_0002633	have ectoparasite	association	have ectoparasites	is target of ectoparasite interaction with	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism#Ectoparasite
http://purl.obolibrary.org/obo/RO_0002635	have endoparasite	association	have endoparasites	is target of endoparasite interaction with	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism#Endoparasite
http://purl.obolibrary.org/obo/RO_0002209	have parasitoid	association	have parasitoids	is target of parasitoid interaction with	Relation Ontology	https://en.wikipedia.org/wiki/Parasitoid
http://purl.obolibrary.org/obo/RO_0002627	killed by	association	death caused by	is target of death interaction with	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002626	kills	association	causes death of, is lethal to	is subject of death interaction with	Relation Ontology	
https://www.wikidata.org/wiki/Property:P1034	main food source	association	primary source of food, main diet, primary diet, diet consists mainly of, diet consists primarily of, obtains nutrients mainly from	species, genus or family that an organism depends on for nutrition	WikiData	
https://www.wikidata.org/entity/Q7075151	obligate parasite of	association	requires host	parasitic organism that cannot complete its life-cycle without exploiting a suitable host	WikiData	https://en.wikipedia.org/wiki/Obligate_parasite
http://purl.obolibrary.org/obo/RO_0002444	parasite of	association	parasitizes	is subject of parasite interaction with	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism
http://purl.obolibrary.org/obo/RO_0002445	parasitized by	association	infested by	is target of parasite interaction with	Relation Ontology	https://en.wikipedia.org/wiki/Parasitism
http://purl.obolibrary.org/obo/RO_0002208	parasitoid of	association	parasitoids of	A parasite that kills or sterilizes its host	Relation Ontology	https://en.wikipedia.org/wiki/Parasitoid
http://purl.obolibrary.org/obo/RO_0002455	pollinates	association	pollinator of	is subject of polination interaction with a plant	Relation Ontology	https://en.wikipedia.org/wiki/Pollinator
http://purl.obolibrary.org/obo/RO_0002458	preyed upon by	association	preyed on by, hunted by	is target of prey interaction with	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002439	preys on	association	hunts, catches for food	An interaction relationship involving a predation process, where the subject kills the target in order to eat it or to feed to siblings, offspring or group members	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002618	visits	association	interacts with plants	is subject of interaction with a plant	Relation Ontology	
http://purl.obolibrary.org/obo/RO_0002622	visits flowers of	association	interacts with flowers	is subject of interaction with a plant's flowers	Relation Ontology	
